Cycle State,Cycle Time ms
1,73.3
0,2.7
2,23.9
0,1.8
RW,101.7
1,83.4
2,23.8
0,1.6
RW,108.8
1,63.4
2,24.1
0,1.6
RW,89.1
1,90.7
2,24.6
0,1.6
RW,116.9
1,89.4
2,23.8
0,1.6
RW,114.8
1,92.2
2,23.9
0,1.5
RW,117.6
1,81.8
2,24.5
0,1.8
RW,108.1
1,84.1
2,25.3
0,1.6
RW,111.0
1,81.0
2,24.1
0,1.9
RW,107.0
1,82.0
2,24.7
0,1.7
RW,108.4
1,78.6
2,24.6
0,1.9
RW,105.1
1,90.8
2,24.2
0,2.0
RW,117.0
1,69.0
2,24.3
0,1.6
RW,94.9
1,72.7
2,24.2
0,1.6
RW,98.5
1,115.6
2,23.9
0,1.8
RW,141.3
1,79.7
2,24.4
0,1.7
RW,105.8
1,88.3
2,23.7
0,1.7
RW,113.7
1,76.6
2,23.8
0,1.7
RW,102.1
1,90.7
2,25.5
0,1.7
RW,117.9
1,77.5
2,24.5
0,1.6
RW,103.6
1,102.7
2,23.5
0,1.6
RW,127.8
1,80.6
2,24.1
0,1.9
RW,106.6
1,61.6
2,24.6
0,1.7
RW,87.9
1,90.2
2,23.4
0,1.7
RW,115.3
1,77.6
2,24.7
0,1.9
RW,104.2
1,83.8
2,24.0
0,1.6
RW,109.4
1,84.1
2,24.5
0,1.7
RW,110.3
1,103.8
2,24.1
0,1.7
RW,129.6
1,74.3
2,23.6
0,1.6
RW,99.5
1,71.5
2,22.8
0,1.6
RW,95.9
1,92.6
2,24.0
0,1.9
RW,118.5
1,85.0
2,23.9
0,1.7
RW,110.6
1,79.9
2,24.6
0,1.6
RW,106.1
1,103.5
2,24.7
0,1.7
RW,129.9
1,87.6
2,24.3
0,1.7
RW,113.6
1,77.7
2,24.5
0,1.6
RW,103.8
1,69.0
2,24.3
0,1.9
RW,95.2
1,83.2
2,23.8
0,1.6
RW,108.6
1,80.4
2,23.8
0,1.6
RW,105.8
1,69.6
2,23.6
0,1.6
RW,94.8
1,75.9
2,24.4
0,1.6
RW,101.9
1,77.1
2,24.1
0,2.1
RW,103.3
1,84.8
2,24.0
0,1.6
RW,110.4
1,81.9
2,24.3
0,1.6
RW,107.8
1,88.7
2,24.1
0,1.5
RW,114.3
1,96.8
2,24.1
0,1.7
RW,122.6
1,90.9
2,24.5
0,1.8
RW,117.2
1,97.4
2,24.7
0,1.6
RW,123.7
1,64.0
2,24.4
0,1.7
RW,90.1
1,80.1
2,23.8
0,1.5
RW,105.4
1,82.1
2,24.3
0,1.7
RW,108.1
1,76.9
2,24.2
0,1.7
RW,102.8
1,63.5
2,24.0
0,1.7
RW,89.2
1,58.3
2,24.7
0,1.7
RW,84.7
1,86.3
2,23.9
0,1.7
RW,111.9
1,74.1
2,23.8
0,1.7
RW,99.6
1,75.8
2,24.5
0,1.6
RW,101.9
1,69.3
2,24.7
0,1.6
RW,95.6
1,77.1
2,24.4
0,1.7
RW,103.2
1,79.1
2,24.1
0,2.1
RW,105.3
1,77.2
2,23.6
0,1.7
RW,102.5
1,89.7
2,24.3
0,1.7
RW,115.7
1,72.0
2,24.3
0,2.0
RW,98.3
1,102.7
2,22.7
0,1.9
RW,127.3
1,85.1
2,24.3
0,2.0
RW,111.4
1,78.5
2,24.4
0,1.7
RW,104.6
1,80.1
2,24.1
0,1.7
RW,105.9
1,95.1
2,23.9
0,1.8
RW,120.8
1,75.2
2,24.4
0,1.7
RW,101.3
1,89.9
2,24.0
0,1.7
RW,115.6
1,84.9
2,24.0
0,1.7
RW,110.6
1,79.8
2,24.5
0,1.9
RW,106.2
1,91.7
2,24.6
0,1.8
RW,118.1
1,66.1
2,24.6
0,1.8
RW,92.5
1,58.8
2,24.3
0,1.7
RW,84.8
1,96.6
2,23.4
0,1.6
RW,121.6
1,102.5
2,23.8
0,1.8
RW,128.1
1,98.1
2,23.8
0,1.6
RW,123.5
1,74.8
2,23.8
0,1.7
RW,100.3
1,91.3
2,23.8
0,1.6
RW,116.7
1,99.6
2,24.3
0,1.6
RW,125.5
1,103.1
2,23.4
0,1.7
RW,128.2
1,69.7
2,24.8
0,1.8
RW,96.3
1,95.0
2,24.5
0,1.9
RW,121.4
1,67.1
2,24.7
0,2.0
RW,93.8
1,86.9
2,24.4
0,1.9
RW,113.2
1,53.7
2,24.0
0,1.6
RW,79.3
1,66.9
2,23.9
0,1.9
RW,92.7
1,79.2
2,23.8
0,1.9
RW,104.9
1,101.1
2,23.8
0,1.8
RW,126.7
1,92.8
2,24.4
0,1.8
RW,119.0
1,74.8
2,24.3
0,1.6
RW,100.7
1,82.8
2,24.6
0,1.9
RW,109.3
1,94.6
2,24.2
0,1.7
RW,120.5
1,90.4
2,24.8
0,2.0
RW,117.2
1,74.1
2,24.2
0,1.5
RW,99.8
1,67.4
2,24.2
0,1.6
RW,93.2
1,87.8
2,24.7
0,1.5
RW,114.0
1,79.4
2,23.8
0,1.8
RW,105.0
1,96.7
2,24.4
0,1.6
RW,122.7
1,89.2
2,24.1
0,1.7
RW,115.0
1,87.4
2,23.7
0,1.7
RW,112.8
1,72.5
2,24.0
0,1.8
RW,98.3
1,74.1
2,24.0
0,1.8
RW,99.9
1,70.0
2,24.2
0,2.0
RW,96.2
1,73.6
2,24.2
0,1.6
RW,99.4
1,69.4
2,23.6
0,1.8
RW,94.8
1,91.9
2,24.2
0,1.8
RW,117.9
1,81.9
2,24.0
0,1.6
RW,107.5
1,92.9
2,24.3
0,1.7
RW,118.9
1,73.6
2,23.8
0,1.7
RW,99.1
1,80.2
2,25.1
0,1.6
RW,106.9
1,56.4
2,24.5
0,1.6
RW,82.5
1,73.1
2,24.4
0,1.8
RW,99.3
1,61.7
2,24.2
0,1.9
RW,87.8
1,60.3
2,23.7
0,1.6
RW,85.6
1,88.5
2,23.8
0,1.7
RW,114.0
1,97.2
2,24.1
0,1.7
RW,123.0
1,75.3
2,23.6
0,1.6
RW,100.5
1,84.8
2,23.7
0,1.6
RW,110.1
1,98.0
2,24.2
0,1.6
RW,123.8
1,63.1
2,24.5
0,1.9
RW,89.5
1,73.6
2,24.6
0,1.8
RW,100.0
1,50.5
2,24.1
0,1.8
RW,76.4
1,84.0
2,23.9
0,1.7
RW,109.6
1,69.6
2,23.7
0,1.7
RW,95.0
1,70.4
2,23.8
0,1.6
RW,95.8
1,85.7
2,24.6
0,1.6
RW,111.9
1,62.0
2,24.1
0,1.5
RW,87.6
1,95.8
2,23.9
0,1.6
RW,121.3
1,81.7
2,23.2
0,1.6
RW,106.5
1,84.4
2,24.5
0,1.9
RW,110.8
1,91.3
2,24.4
0,1.6
RW,117.3
1,86.3
2,23.7
0,1.6
RW,111.6
1,101.4
2,23.9
0,1.5
RW,126.8
1,74.4
2,24.2
0,1.8
RW,100.4
1,84.8
2,24.0
0,1.7
RW,110.5
1,75.7
2,25.2
0,1.6
RW,102.5
1,60.9
2,23.8
0,1.8
RW,86.5
1,69.0
2,24.2
0,1.6
RW,94.8
1,54.9
2,23.3
0,1.6
RW,79.8
1,57.9
2,24.2
0,1.8
RW,83.9
1,75.8
2,23.5
0,1.7
RW,101.0
1,65.0
2,24.1
0,1.6
RW,90.7
1,80.5
2,23.7
0,1.6
RW,105.8
1,64.7
2,23.6
0,1.7
RW,90.0
1,61.2
2,24.5
0,1.6
RW,87.3
1,70.4
2,22.9
0,1.8
RW,95.1
1,68.3
2,24.2
0,1.7
RW,94.2
1,79.5
2,23.6
0,1.6
RW,104.7
1,74.9
2,24.7
0,1.6
RW,101.2
1,79.2
2,24.4
0,2.0
RW,105.6
1,81.3
2,24.2
0,1.8
RW,107.3
1,62.2
2,24.1
0,1.6
RW,87.9
1,77.5
2,23.6
0,1.7
RW,102.8
1,71.9
2,24.4
0,1.8
RW,98.1
1,87.4
2,24.5
0,1.9
RW,113.8
1,63.7
2,25.0
0,1.6
RW,90.3
1,69.2
2,24.4
0,1.8
RW,95.4
1,95.6
2,24.3
0,1.7
RW,121.6
1,78.7
2,25.3
0,1.3
RW,105.3
1,78.7
2,24.4
0,1.8
