Connected to COM3

ClearSy Safety Plateform - Startup
Version 0.7 
Replicas initialisation
PIC 0 - Card 0
(55:55)
nb_global_inputs 11, nb_local_inputs 3, nb_external_inputs 8 
nb_external_inputs 8, nb_external_outputs 8 
Sending configuration to daughter board
Waiting for acknowledge from daughter board
Started
(55:55)
Cycle 1 time: 733
Cycle 0 time: 27
Cycle 2 time: 239
Cycle 0 time: 18
RW cycle time: 1017
Cycle 1 time: 834
Cycle 2 time: 238
Cycle 0 time: 16
RW cycle time: 1088
Cycle 1 time: 634
Cycle 2 time: 241
Cycle 0 time: 16
RW cycle time: 891
Cycle 1 time: 907
Cycle 2 time: 246
Cycle 0 time: 16
RW cycle time: 1169
Cycle 1 time: 894
Cycle 2 time: 238
Cycle 0 time: 16
RW cycle time: 1148
Cycle 1 time: 922
Cycle 2 time: 239
Cycle 0 time: 15
RW cycle time: 1176
clock 02015 ms | mcu 0 | user time 813 | I1 0 | I2 0 | I3 0 | O1 0 | 02 0
EXT_I 0 | EXT_ O 0
external_input_state 0 | nr_v__external_input_states 0
n_cycle 20 | nb_rw_cycle_counter 6 | nb_inter_pic_trame_counter 19
Cycle 1 time: 818
Cycle 2 time: 245
Cycle 0 time: 18
RW cycle time: 1081
Cycle 1 time: 841
Cycle 2 time: 253
Cycle 0 time: 16
RW cycle time: 1110
Cycle 1 time: 810
Cycle 2 time: 241
Cycle 0 time: 19
RW cycle time: 1070
Cycle 1 time: 820
Cycle 2 time: 247
Cycle 0 time: 17
RW cycle time: 1084
Cycle 1 time: 786
Cycle 2 time: 246
Cycle 0 time: 19
RW cycle time: 1051
Cycle 1 time: 908
Cycle 2 time: 242
Cycle 0 time: 20
RW cycle time: 1170
Cycle 1 time: 690
Cycle 2 time: 243
Cycle 0 time: 16
RW cycle time: 949
Cycle 1 time: 727
Cycle 2 time: 242
Cycle 0 time: 16
RW cycle time: 985
Cycle 1 time: 1156
Cycle 2 time: 239
Cycle 0 time: 18
RW cycle time: 1413
Cycle 1 time: 797
Cycle 2 time: 244
Cycle 0 time: 17
RW cycle time: 1058
Cycle 1 time: 883
Cycle 2 time: 237
Cycle 0 time: 17
RW cycle time: 1137
Cycle 1 time: 766
Cycle 2 time: 238
Cycle 0 time: 17
RW cycle time: 1021
Cycle 1 time: 907
Cycle 2 time: 255
Cycle 0 time: 17
RW cycle time: 1179
Cycle 1 time: 775
Cycle 2 time: 245
Cycle 0 time: 16
RW cycle time: 1036
Cycle 1 time: 1027
Cycle 2 time: 235
Cycle 0 time: 16
RW cycle time: 1278
Cycle 1 time: 806
Cycle 2 time: 241
Cycle 0 time: 19
RW cycle time: 1066
Cycle 1 time: 616
Cycle 2 time: 246
Cycle 0 time: 17
RW cycle time: 879
Cycle 1 time: 902
Cycle 2 time: 234
Cycle 0 time: 17
RW cycle time: 1153
Cycle 1 time: 776
Cycle 2 time: 247
Cycle 0 time: 19
RW cycle time: 1042
clock 04093 ms | mcu 0 | user time 832 | I1 0 | I2 0 | I3 0 | O1 1 | 02 1
EXT_I 0 | EXT_ O 0
external_input_state 0 | nr_v__external_input_states 0
n_cycle 77 | nb_rw_cycle_counter 25 | nb_inter_pic_trame_counter 76
Cycle 1 time: 838
Cycle 2 time: 240
Cycle 0 time: 16
RW cycle time: 1094
Cycle 1 time: 841
Cycle 2 time: 245
Cycle 0 time: 17
RW cycle time: 1103
Cycle 1 time: 1038
Cycle 2 time: 241
Cycle 0 time: 17
RW cycle time: 1296
Cycle 1 time: 743
Cycle 2 time: 236
Cycle 0 time: 16
RW cycle time: 995
Cycle 1 time: 715
Cycle 2 time: 228
Cycle 0 time: 16
RW cycle time: 959
Cycle 1 time: 926
Cycle 2 time: 240
Cycle 0 time: 19
RW cycle time: 1185
Cycle 1 time: 850
Cycle 2 time: 239
Cycle 0 time: 17
RW cycle time: 1106
Cycle 1 time: 799
Cycle 2 time: 246
Cycle 0 time: 16
RW cycle time: 1061
Cycle 1 time: 1035
Cycle 2 time: 247
Cycle 0 time: 17
RW cycle time: 1299
Cycle 1 time: 876
Cycle 2 time: 243
Cycle 0 time: 17
RW cycle time: 1136
Cycle 1 time: 777
Cycle 2 time: 245
Cycle 0 time: 16
RW cycle time: 1038
Cycle 1 time: 690
Cycle 2 time: 243
Cycle 0 time: 19
RW cycle time: 952
Cycle 1 time: 832
Cycle 2 time: 238
Cycle 0 time: 16
RW cycle time: 1086
Cycle 1 time: 804
Cycle 2 time: 238
Cycle 0 time: 16
RW cycle time: 1058
Cycle 1 time: 696
Cycle 2 time: 236
Cycle 0 time: 16
RW cycle time: 948
Cycle 1 time: 759
Cycle 2 time: 244
Cycle 0 time: 16
RW cycle time: 1019
Cycle 1 time: 771
Cycle 2 time: 241
Cycle 0 time: 21
RW cycle time: 1033
Cycle 1 time: 848
Cycle 2 time: 240
Cycle 0 time: 16
RW cycle time: 1104
Cycle 1 time: 819
Cycle 2 time: 243
Cycle 0 time: 16
